Clave,,,Descripción,,,,,Precio U.,Exis,Total 
7.50201E+12,,,ACIDO FUSIDICO / BETAMETASONA ( KURTOSIL ) CREMA 20MG-1MG TUBO C/15G,,,,,$60.09,3,$180.27
7.50108E+12,,,ACIDO MEFENAMICO ( NAMIFEN ) TABLETA 500 MG C/20,,,,,$22.26,0,$0.00
L003,,,ACIDO URICO,,,,,$40.00,0,$0.00
L005,,,ACIDO URICO EN ORINA DE 24 HRS,,,,,$80.00,0,$0.00
L004,,,ACIDO VALPROICO,,,,,$320.00,0,$0.00
L007,,,ACIDO VANILMANDELICO EN ORINA 24HRS,,,,,$510.00,0,$0.00
7.50103E+12,,,ADEMETIONINA ( SAMYR ) 500 MG TABLETA,,,,,"$1,622.64",0,$0.00
7.50053E+12,,,AGUA 1 LITRO,,,,,$4.09,0,$0.00
7.50053E+12,,,AGUA 500ML,,,,,$2.13,0,$0.00
7.50053E+12,,,AGUA ALCALINA 1 LTO,,,,,$15.00,0,$0.00
7.58104E+11,,,AGUA BONAFONT 500ML,,,,,$3.00,0,$0.00
210498,,,AGUA DESTILADA 20 LTS,,,,,$311.81,0,$0.00
7.50113E+12,,,AGUA INYECTABLE 500 ML,,,,,$40.47,0,$0.00
7.50105E+12,,,AGUA INYECTABLE ALPHA (KABIPAC) SOLUCION 500,,,,,$17.87,0,$0.00
SL04-06,,,AGUA INYECTABLE AMPOLLETA 5ML PISA,,,,,$7.15,0,$0.00
7.50105E+12,,,AGUA OXIGENADA,,,,,$10.51,0,$0.00
7.50105E+12,,,AGUA OXIGENADA,,,,,$10.00,18,$180.00
7.50105E+12,,,AGUA OXIGENADA,,,,,$18.46,5,$92.30
7.59684E+11,,,AGUA OXIGENADA ( JALOMA )SOL AL 3% C/112ML,,,,,$6.74,0,$0.00
7.59684E+11,,,AGUA OXIGENADA ( JALOMA )SOL AL 3% C/224ML,,,,,$14.72,0,$0.00
7.50105E+12,,,AGUA OXIGENADA 2.5 A 3.5%  100ML,,,,,$6.39,0,$0.00
79684315053,,,AGUA OXIGENADA 56 ML (JALOMA) SOL AL 3%,,,,,$6.12,0,$0.00
7.59684E+11,,,AGUA OXIGENADA 56 ML JALOMA,,,,,$5.28,0,$0.00
7.50602E+12,,,AGUJA HIPODERMICA 18G X 32 MM (ROSA),,,,,$0.65,2200,"$1,430.00"
7.50602E+12,,,AGUJA HIPODERMICA 20G X 38 MM,,,,,$0.58,0,$0.00
7.50602E+12,,,AGUJA HIPODERMICA 21 X 32 MM,,,,,$0.59,0,$0.00
7.50602E+12,,,AGUJAS HIPODERMICAS 22G X 32MM,,,,,$0.59,0,$0.00
7.50602E+12,,,AGUJAS HOPODERMICAS CALIBRE 27 G X 13 MM,,,,,$0.55,0,$0.00
7.50154E+12,,,ALBENDAZOL ( BRUZOL ) SUSPENSION 2G/100ML C/20ML,,,,,$9.05,0,$0.00
7.50155E+12,,,ALBENDAZOL ( VERMIN PLUS )6 TABLETAS 200MG,,,,,$14.84,0,$0.00
7.50108E+12,,,ALBENDAZOL ( VERMISEN ) TABLETAS 200MG C/6,,,,,$12.61,0,$0.00
75006471,,,ALBENDAZOL (VERMISEN) SUSPENSION 20 ML/400MG,,,,,$6.29,0,$0.00
L006,,,ALBUMINA,,,,,$45.00,0,$0.00
L009,,,ALBUMINA EN ORINA 24 HRS,,,,,$80.00,0,$0.00
7.50105E+12,,,ALCOHOL 110ML,,,,,$9.35,0,$0.00
7.50119E+12,,,ALCOHOL DALUX 1000 ML,,,,,$52.20,0,$0.00
L011,,,ALCOHOL EN ORINA,,,,,$250.00,0,$0.00
7.503E+12,,,ALCOHOL ETILICO ( CAÑITAS ) 70%   CONT. 920ML,,,,,$44.08,0,$0.00
7.50105E+12,,,ALCOHOL ETILICO ( PROTEC ) 1000ML,,,,,$56.42,2,$112.84
7.59684E+11,,,ALCOHOL ETILICO 1000 ML (JALOMA),,,,,$67.96,11,$747.56
7.50119E+12,,,alcohol etilico 250ml.(dalux),,,,,$14.37,0,$0.00
7.503E+12,,,ALCOHOL ETILICO 920 ML (CAÑITAS),,,,,$44.08,0,$0.00
L010,,,ALCOHOL ETILICO EN SUERO,,,,,$250.00,0,$0.00
75968431160,,,ALCOHOL JALOMA 1000ML,,,,,$66.40,0,$0.00
L012,,,ALDOLASA,,,,,$270.00,0,$0.00
L013,,,ALDOSTERONA,,,,,$600.00,0,$0.00
7.503E+12,,,ALFA CETOANALOGOS ( SOMERAL ) 100 TABLETAS 666.05GR,,,,,$675.29,0,$0.00
1.75011E+13,,,ALFA CETOANALOGOS DE AMINOACIDOS ( KETOSTERIL ) C/100TABLETAS 630MG,,,,,"$1,091.95",0,$0.00
7.50109E+12,,,ALFA CETOANALOGOS DE AMINOACIDOS (CETOLAN) TABLETAS 630 MG C/100 TABLETAS,,,,,"$1,377.81",0,$0.00
7.50135E+12,,,ALFA CETOANALOGOS DE AMINOACIDOS 630MG (AMSA),,,,,$617.53,0,$0.00
L0007,,,ALFAFETOPROTEINA EN SUERO,,,,,$300.00,0,$0.00
7.59684E+11,,,ALGODON ABSORBENTE PLISADO ( JALOMA ) BOLSA C/50 G,,,,,$11.09,0,$0.00
gt0285721'23,,,ALGODON GALIA,,,,,$87.53,0,$0.00
7.503E+12,,,ALGODON PLISADO NO ESTERULIZADO ( QUIRUMEX ) 25 G,,,,,$5.44,0,$0.00
7.50602E+12,,,ALGODON TORUNDA ( SENSI MEDICAL ) 500 G,,,,,$97.74,0,$0.00
7.50223E+12,,,ALOPURINOL (  ARRAMPLOR ) C/20 TAB 300MG,,,,,$20.90,0,$0.00
7.50156E+12,,,ALOPURINOL ( BIORESEARCH ) TAB 300MG C/20,,,,,$24.14,0,$0.00
7.50156E+12,,,ALOPURINOL (BIONOL) TAB 300mg,,,,,$23.20,0,$0.00
7.50154E+12,,,ALOPURINOL (PURIBEL 300) 300MG C/20TAB,,,,,$25.69,0,$0.00
7.50221E+12,,,ALOPURINOL 300MG 20 TAB (PURIBEL),,,,,$18.91,0,$0.00
7.50138E+12,,,ALOPURINOL 300MG C/20TAB,,,,,$21.60,0,$0.00
7.50111E+12,,,ALUMINIO / MAGNESIO / DIMETICONA ( ALKAGEL COMPLEX ) SUSPENSION 4G - 4G,,,,,$24.90,0,$0.00
7.50183E+12,,,ALUMINIO / MAGNESIO / METOCLOPRAMIDA / DIMETICONA ( ESPRADEN ) C / 30 TAB,,,,,$41.51,5,$207.55
7.502E+12,,,AMANTADINA / CLORFENAMINA / PARACETAMOL ( AMPAMIL )  JBE 0.50G/0.02G/3.00G 60ML,,,,,$18.11,0,$0.00
7.50109E+12,,,AMANTADINA / CLORFENAMINA / PARACETAMOL ( ANTIFLU-DES JR ) JARABE INF  0.500 G / 0.020 G / 3.000 / 100 ML C/60ML,,,,,$71.08,0,$0.00
7.50109E+12,,,AMANTADINA / CLORFENAMINA / PARACETAMOL ( ANTIFLUDES ) SOLUCION PED 2.5G/0.10G/15G  C/30ML,,,,,$80.20,0,$0.00
7.5013E+12,,,AMANTADINA / CLORFENAMINA / PARACETAMOL ( DEPLES ) SOL.2.50G/0.10G/15.00G/100ML C/30ML,,,,,$49.82,0,$0.00
7.50223E+12,,,AMANTADINA / CLORFENAMINA / PARACETAMOL ( FROSDEM ) CAPSULAS 300MG/50MG/3MG C/24,,,,,$18.62,0,$0.00
7.50201E+12,,,"AMANTADINA / CLORFENAMINA / PARACETAMOL ( MAVER ) JARABE  0.50G, 0.02G, 3G / 100ML",,,,,$17.40,0,$0.00
7.503E+12,,,AMANTADINA / CLORFENAMINA / PARACETAMOL ( ROSEL-T) TABLETA 50MG/3MG/300MG C/15,,,,,$17.50,0,$0.00
7.50201E+12,,,"AMANTADINA / CLORFENAMINA / PARACETAMOL ( VERIGRIN F ) JARABE INFANTIL .50G,.02G, 3.00G/ 100ML",,,,,$21.47,0,$0.00
7.50201E+12,,,AMANTADINA / CLORFENAMINA / PARACETAMOL ( VERIGRIN F ) SOLUCION PED 2.5G - 0.1G - 15G C/30,,,,,$19.77,0,$0.00
7.503E+12,,,AMANTADINA / CLORFENAMINA / PARACETAMOL (ROSEL) CAPS C/24,,,,,$23.60,0,$0.00
7.50221E+12,,,AMBROXOL ( BROXOFFLER ) SOLUCION 120 ML,,,,,$18.57,0,$0.00
7.50157E+12,,,AMBROXOL ( CLOXAN ) TABLETAS 30 MG,,,,,$8.55,0,$0.00
7.50183E+12,,,AMBROXOL ( EBROMIN ) SOLUCION 15 MG/ 5ML FRASCO 120 ML,,,,,$18.92,0,$0.00
7.50221E+12,,,AMBROXOL ( LOEFLER ) SOLUCION 2.5ML / 77.5MG C/120ML,,,,,$12.29,0,$0.00
7.50154E+12,,,AMBROXOL ( OXOLVAN ) TAB 30MG C/20,,,,,$9.84,0,$0.00
7.503E+12,,,AMBROXOL ( VIAXOL ) SOLUCION PED 7.5MG C/30 ML,,,,,$8.94,0,$0.00
7.5013E+12,,,AMBROXOL (PHARMAGEN) GOTAS PEDIATRICAS 0.75 MG C/30 ML,,,,,$18.64,0,$0.00
7.50157E+12,,,AMBROXOL / DEXTRMETORFANO (BROXTORFAN) SOL. ADULTO 225MG/100ML,,,,,$14.60,0,$0.00
7.50223E+12,,,AMBROXOL / DEXTROMETORFANO ( ADMIDOXIL ) CAPSULAS 22.5MG/ 22.5MG C/10,,,,,$24.43,0,$0.00
7.502E+12,,,AMBROXOL / DEXTROMETORFANO ( BROGAL ) JARABE INFANTIL 150MG/113 MG/100ML C/120ML,,,,,$27.75,0,$0.00
7.502E+12,,,AMBROXOL / DEXTROMETORFANO ( BROGAL T ) SOLUCION ADULTO 225MG/225MG/100ML C/120ML,,,,,$18.91,0,$0.00
7.50157E+12,,,AMBROXOL / DEXTROMETORFANO ( BROXTORFAN ) JARABE 113 MG/ 150 MG/ 100 ML C/120ML,,,,,$17.30,0,$0.00
7.50201E+12,,,AMBROXOL / DEXTROMETORFANO ( COBADEX  ) SOLUCION PEDIATRICO 400MG/ 400MG/ 100ML C/30ML,,,,,$8.70,0,$0.00
7.50201E+12,,,AMBROXOL / DEXTROMETORFANO ( COBADEX ) SOLUCION ADULTO 225MG - 225MG /100ML,,,,,$23.09,0,$0.00
7.50201E+12,,,"AMBROXOL / DEXTROMETORFANO ( COBADEX ) SOLUCION INFANTIL 150MG, 113MG/100ML C/120ML",,,,,$17.24,0,$0.00
